name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link
,28,10138816,103,104,1,895.2698214934634,1,29,,track,10,"LINESTRING (-109.5326654 37.2883234, -109.5335345 37.2878326, -109.5337222 37.2876982, -109.5339019 37.2875296, -109.5341246 37.2872308, -109.5342426 37.2871071, -109.5345215 37.2867144, -109.5348058 37.2862279, -109.5349239 37.286023, -109.5350097 37.2859419, -109.5351143 37.2858843, -109.5352001 37.2858395, -109.5353101 37.2857904, -109.5354093 37.2857626, -109.5355059 37.2857498, -109.5356239 37.2857584, -109.5359216 37.285784, -109.5361711 37.2857904, -109.5367692 37.2858075, -109.5371742 37.2858181, -109.5372547 37.2858267, -109.5374612 37.28588, -109.5375793 37.2858907, -109.5376865 37.2858886, -109.5378046 37.2858693, -109.5379387 37.2858416, -109.5380567 37.2858117, -109.5381264 37.2857818, -109.5382069 37.2857754, -109.5383008 37.2857861, -109.5385958 37.2858373, -109.5387702 37.2859014, -109.5388506 37.2859099, -109.5390518 37.2859248, -109.5392047 37.2859483, -109.5393576 37.2860038, -109.5394917 37.2860657, -109.5396311 37.2861596, -109.5397277 37.2862172, -109.539835 37.2862513, -109.5399423 37.2862641, -109.5401139 37.2862812, -109.5402749 37.2862876, -109.5404492 37.2862876, -109.5405646 37.2862855, -109.5406718 37.2862897, -109.5407925 37.2863068, -109.5408703 37.286309, -109.5409964 37.286309)",auto;bike;walk,0,0
North Pioneer Drive,29,10140447,23,75,1,115.55147748181413,1,29,,residential,6,"LINESTRING (-109.5591938 37.2857107, -109.5592937 37.2857866, -109.5593196 37.2858403, -109.5593341 37.2859175, -109.5592869 37.2859951, -109.5592189 37.2860416, -109.5591371 37.2860663, -109.5586008 37.286199, -109.5584587 37.2862383)",auto;bike;walk,1,0
North Pioneer Drive,30,10140447,75,23,1,115.55147748181415,1,29,,residential,6,"LINESTRING (-109.5584587 37.2862383, -109.5586008 37.286199, -109.5591371 37.2860663, -109.5592189 37.2860416, -109.5592869 37.2859951, -109.5593341 37.2859175, -109.5593196 37.2858403, -109.5592937 37.2857866, -109.5591938 37.2857107)",auto;bike;walk,1,0
North Pioneer Drive,31,10140447,75,74,1,456.8966243447983,1,29,,residential,6,"LINESTRING (-109.5584587 37.2862383, -109.5582619 37.2862813, -109.5580197 37.2863608, -109.5578502 37.2864293, -109.5576875 37.2865298, -109.5575603 37.2866364, -109.557384 37.2867977, -109.5572303 37.2869284, -109.5571088 37.2869965, -109.5569347 37.287082, -109.5567244 37.2871857, -109.5565722 37.2872805, -109.5564593 37.2873773, -109.5563496 37.2875327, -109.556068 37.2880215, -109.5558349 37.2882039, -109.5556144 37.2882622, -109.5553966 37.2882677, -109.5551467 37.2882127, -109.5549597 37.288218, -109.5548218 37.2883416, -109.5547363 37.2884798, -109.5546987 37.2885865)",auto;bike;walk,1,0
North Pioneer Drive,32,10140447,74,75,1,456.89662434479834,1,29,,residential,6,"LINESTRING (-109.5546987 37.2885865, -109.5547363 37.2884798, -109.5548218 37.2883416, -109.5549597 37.288218, -109.5551467 37.2882127, -109.5553966 37.2882677, -109.5556144 37.2882622, -109.5558349 37.2882039, -109.556068 37.2880215, -109.5563496 37.2875327, -109.5564593 37.2873773, -109.5565722 37.2872805, -109.5567244 37.2871857, -109.5569347 37.287082, -109.5571088 37.2869965, -109.5572303 37.2869284, -109.557384 37.2867977, -109.5575603 37.2866364, -109.5576875 37.2865298, -109.5578502 37.2864293, -109.5580197 37.2863608, -109.5582619 37.2862813, -109.5584587 37.2862383)",auto;bike;walk,1,0
,33,10141085,17,13,1,56.91633074746815,1,29,,residential,6,"LINESTRING (-109.5684056 37.2837785, -109.5683662 37.2832676)",auto;bike;walk,1,0
,34,10141085,13,17,1,56.91633074746815,1,29,,residential,6,"LINESTRING (-109.5683662 37.2832676, -109.5684056 37.2837785)",auto;bike;walk,1,0
,35,10142930,25,26,1,158.94120106123725,1,29,,service,7,"LINESTRING (-109.5593411 37.2829439, -109.5591077 37.2817431, -109.5592901 37.2815854)",bike;walk,1,0
,36,10142930,26,25,1,158.94120106123725,1,29,,service,7,"LINESTRING (-109.5592901 37.2815854, -109.5591077 37.2817431, -109.5593411 37.2829439)",bike;walk,1,0
,37,10142944,11,136,1,197.2145654439352,1,29,,service,7,"LINESTRING (-109.5325877 37.2819021, -109.5325743 37.2817698, -109.5325555 37.2817314, -109.5324991 37.2816951, -109.5324401 37.2816844, -109.5323838 37.2816887, -109.5323087 37.2817015, -109.5322256 37.2817228, -109.5318983 37.2817975, -109.5315309 37.2818551, -109.5309917 37.2819256, -109.5306 37.2819682)",bike;walk,1,0
,38,10142944,136,11,1,197.21456544393516,1,29,,service,7,"LINESTRING (-109.5306 37.2819682, -109.5309917 37.2819256, -109.5315309 37.2818551, -109.5318983 37.2817975, -109.5322256 37.2817228, -109.5323087 37.2817015, -109.5323838 37.2816887, -109.5324401 37.2816844, -109.5324991 37.2816951, -109.5325555 37.2817314, -109.5325743 37.2817698, -109.5325877 37.2819021)",bike;walk,1,0
,39,10144893,24,97,1,13.896088283658587,1,29,,service,7,"LINESTRING (-109.5588494 37.2844233, -109.5589032 37.2843747, -109.5589669 37.2843422)",bike;walk,1,0
,40,10144893,97,24,1,13.896088283658587,1,29,,service,7,"LINESTRING (-109.5589669 37.2843422, -109.5589032 37.2843747, -109.5588494 37.2844233)",bike;walk,1,0
,41,10144893,97,99,1,13.872796272087172,1,29,,service,7,"LINESTRING (-109.5589669 37.2843422, -109.5591237 37.2843411)",bike;walk,1,0
,42,10144893,99,97,1,13.872796272087172,1,29,,service,7,"LINESTRING (-109.5591237 37.2843411, -109.5589669 37.2843422)",bike;walk,1,0
