o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,geometry
23,Gate11,14,Gate2,5.02239752663191,"LINESTRING (-109.537985 37.2746,-109.5886621 37.28648)"
23,Gate11,15,Gate3,5.183337242252174,"LINESTRING (-109.537985 37.2746,-109.5886621 37.29242)"
23,Gate11,16,Gate4,4.325170420158242,"LINESTRING (-109.537985 37.2746,-109.5759921 37.2983644)"
23,Gate11,17,Gate5,3.3518511482582056,"LINESTRING (-109.537985 37.2746,-109.5633221 37.2983644)"
23,Gate11,18,Gate6,2.5984349068935795,"LINESTRING (-109.537985 37.2746,-109.5506521 37.2983644)"
23,Gate11,19,Gate7,2.2930269730732116,"LINESTRING (-109.537985 37.2746,-109.5379821 37.2983644)"
23,Gate11,20,Gate8,2.110106661813427,"LINESTRING (-109.537985 37.2746,-109.525315 37.2924244)"
23,Gate11,21,Gate9,1.6761728442416028,"LINESTRING (-109.537985 37.2746,-109.525315 37.2864844)"
23,Gate11,22,Gate10,1.350393980985172,"LINESTRING (-109.537985 37.2746,-109.525315 37.2805444)"
23,Gate11,23,Gate11,0.0,"LINESTRING (-109.537985 37.2746,-109.537985 37.2746)"
23,Gate11,24,Gate12,1.2225283000013671,"LINESTRING (-109.537985 37.2746,-109.550655 37.2746)"
23,Gate11,25,Gate13,2.445056599999992,"LINESTRING (-109.537985 37.2746,-109.563325 37.2746)"
23,Gate11,26,Gate14,3.667584900001359,"LINESTRING (-109.537985 37.2746,-109.575995 37.2746)"
24,Gate12,5,B1,2.0444732584079404,"LINESTRING (-109.550655 37.2746,-109.5697333 37.2838178)"
24,Gate12,6,B2,1.3699980694676073,"LINESTRING (-109.550655 37.2746,-109.560079 37.2852198)"
24,Gate12,7,B3,0.9987453941241095,"LINESTRING (-109.550655 37.2746,-109.5523617 37.2848091)"
24,Gate12,8,B4,1.4151599087658489,"LINESTRING (-109.550655 37.2746,-109.5412776 37.2858769)"
24,Gate12,9,C1,2.2006136528391798,"LINESTRING (-109.550655 37.2746,-109.5724947 37.2811705)"
24,Gate12,10,C2,1.5092480031957756,"LINESTRING (-109.550655 37.2746,-109.5646803 37.2815244)"
24,Gate12,11,C3,0.8748060133425869,"LINESTRING (-109.550655 37.2746,-109.553796 37.2831048)"
24,Gate12,12,C4,1.2963793764441909,"LINESTRING (-109.550655 37.2746,-109.5405438 37.2834472)"
24,Gate12,13,Gate1,3.7118227534111727,"LINESTRING (-109.550655 37.2746,-109.5886621 37.28054)"
24,Gate12,14,Gate2,3.842282262351536,"LINESTRING (-109.550655 37.2746,-109.5886621 37.28648)"
24,Gate12,15,Gate3,4.050387763533422,"LINESTRING (-109.550655 37.2746,-109.5886621 37.29242)"
24,Gate12,16,Gate4,3.3518511482582056,"LINESTRING (-109.550655 37.2746,-109.5759921 37.2983644)"
24,Gate12,17,Gate5,2.5984349068922894,"LINESTRING (-109.550655 37.2746,-109.5633221 37.2983644)"
24,Gate12,18,Gate6,2.2930269730732116,"LINESTRING (-109.550655 37.2746,-109.5506521 37.2983644)"
24,Gate12,19,Gate7,2.5986981975073618,"LINESTRING (-109.550655 37.2746,-109.5379821 37.2983644)"
24,Gate12,20,Gate8,2.9893605431828982,"LINESTRING (-109.550655 37.2746,-109.525315 37.2924244)"
24,Gate12,21,Gate9,2.700607660635349,"LINESTRING (-109.550655 37.2746,-109.525315 37.2864844)"
24,Gate12,22,Gate10,2.5114319096464324,"LINESTRING (-109.550655 37.2746,-109.525315 37.2805444)"
24,Gate12,23,Gate11,1.2225283000013671,"LINESTRING (-109.550655 37.2746,-109.537985 37.2746)"
24,Gate12,24,Gate12,0.0,"LINESTRING (-109.550655 37.2746,-109.550655 37.2746)"
24,Gate12,25,Gate13,1.222528299998625,"LINESTRING (-109.550655 37.2746,-109.563325 37.2746)"
24,Gate12,26,Gate14,2.445056599999992,"LINESTRING (-109.550655 37.2746,-109.575995 37.2746)"
25,Gate13,5,B1,1.083248273650486,"LINESTRING (-109.563325 37.2746,-109.5697333 37.2838178)"
25,Gate13,6,B2,1.0715041230681308,"LINESTRING (-109.563325 37.2746,-109.560079 37.2852198)"
25,Gate13,7,B3,1.4454827982805827,"LINESTRING (-109.563325 37.2746,-109.5523617 37.2848091)"
25,Gate13,8,B4,2.389477379440515,"LINESTRING (-109.563325 37.2746,-109.5412776 37.2858769)"
25,Gate13,9,C1,1.0884778011290281,"LINESTRING (-109.563325 37.2746,-109.5724947 37.2811705)"
25,Gate13,10,C2,0.6808167519334855,"LINESTRING (-109.563325 37.2746,-109.5646803 37.2815244)"
25,Gate13,11,C3,1.2324085391310098,"LINESTRING (-109.563325 37.2746,-109.553796 37.2831048)"
25,Gate13,12,C4,2.3581019358305335,"LINESTRING (-109.563325 37.2746,-109.5405438 37.2834472)"
