activity_zone_id,grid_zone_id,name,centroid_x,centroid_y,geometry,centroid,total_poi_count,residential_poi_count,office_poi_count,shopping_poi_count,school_poi_count,parking_poi_count,boundary_node_count,zone_type
56,44.0,C16,-111.9236149,33.4284178,"POLYGON ((-111.92443680000008 33.428380000000004,-111.92443680000008 33.42918,-111.92306680000009 33.42918,-111.92306680000009 33.428380000000004,-111.92443680000008 33.428380000000004))",POINT (-111.9236149 33.4284178),1,0,0,0,0,1,0,demand_zone
62,45.0,D2,-111.9433358,33.4277712,"POLYGON ((-111.9436168 33.427580000000006,-111.9436168 33.428380000000004,-111.9422468 33.428380000000004,-111.9422468 33.427580000000006,-111.9436168 33.427580000000006))",POINT (-111.9433358 33.4277712),1,0,0,0,0,0,0,demand_zone
63,51.0,D3,-111.9416895,33.4280571,"POLYGON ((-111.9422468 33.427580000000006,-111.9422468 33.428380000000004,-111.94087680000001 33.428380000000004,-111.94087680000001 33.427580000000006,-111.9422468 33.427580000000006))",POINT (-111.9416895 33.4280571),1,0,0,0,0,0,0,demand_zone
64,53.0,D4,-111.94017790000001,33.4279179,"POLYGON ((-111.94087680000001 33.427580000000006,-111.94087680000001 33.428380000000004,-111.93950680000002 33.428380000000004,-111.93950680000002 33.427580000000006,-111.94087680000001 33.427580000000006))",POINT (-111.94017790000001 33.4279179),1,0,0,0,0,0,0,demand_zone
65,56.0,D5,-111.9394959,33.4278439,"POLYGON ((-111.93950680000002 33.427580000000006,-111.93950680000002 33.428380000000004,-111.93813680000002 33.428380000000004,-111.93813680000002 33.427580000000006,-111.93950680000002 33.427580000000006))",POINT (-111.9394959 33.4278439),1,0,0,0,0,1,0,demand_zone
70,61.0,D10,-111.9323497,33.4282513,"POLYGON ((-111.93265680000005 33.427580000000006,-111.93265680000005 33.428380000000004,-111.93128680000005 33.428380000000004,-111.93128680000005 33.427580000000006,-111.93265680000005 33.427580000000006))",POINT (-111.9323497 33.4282513),1,0,0,0,0,0,0,demand_zone
72,62.0,D12,-111.9292841,33.428156400000006,"POLYGON ((-111.92991680000006 33.427580000000006,-111.92991680000006 33.428380000000004,-111.92854680000006 33.428380000000004,-111.92854680000006 33.427580000000006,-111.92991680000006 33.427580000000006))",POINT (-111.9292841 33.428156400000006),2,0,0,0,0,0,0,demand_zone
73,63.0,D13,-111.9279301,33.4276964,"POLYGON ((-111.92854680000006 33.427580000000006,-111.92854680000006 33.428380000000004,-111.92717680000007 33.428380000000004,-111.92717680000007 33.427580000000006,-111.92854680000006 33.427580000000006))",POINT (-111.9279301 33.4276964),1,0,0,0,0,0,0,demand_zone
77,64.0,D17,-111.9221543,33.4279785,"POLYGON ((-111.92306680000009 33.427580000000006,-111.92306680000009 33.428380000000004,-111.92169680000009 33.428380000000004,-111.92169680000009 33.427580000000006,-111.92306680000009 33.427580000000006))",POINT (-111.9221543 33.4279785),1,0,0,0,0,0,0,demand_zone
83,65.0,E3,-111.94116086666668,33.4270954,"POLYGON ((-111.9422468 33.42678000000001,-111.9422468 33.427580000000006,-111.94087680000001 33.427580000000006,-111.94087680000001 33.42678000000001,-111.9422468 33.42678000000001))",POINT (-111.94116086666668 33.4270954),2,0,0,0,0,0,0,demand_zone
