name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,3428,546387755,1079,1362,1,142.26253882896017,1,4,,footway,9,"LINESTRING (-111.9288427 33.4221688, -111.9289197 33.4223849, -111.9290386 33.4225493, -111.9291371 33.422644, -111.9292178 33.4227011, -111.9296116 33.4229031, -111.9298044 33.4230046, -111.9298208 33.4230423, -111.9298185 33.4230743)",walk,0
,3429,546387755,1362,1363,1,5.023561920627485,1,4,,footway,9,"LINESTRING (-111.9298185 33.4230743, -111.9298233 33.4231193)",walk,0
,3430,546387755,1363,1364,1,45.8200332342912,1,4,,footway,9,"LINESTRING (-111.9298233 33.4231193, -111.9298221 33.4231576, -111.9298548 33.4231739, -111.9299751 33.4232103, -111.9302487 33.4232665)",walk,0
,3431,546387755,1364,1365,1,4.6076719843625495,1,4,,footway,9,"LINESTRING (-111.9302487 33.4232665, -111.9302966 33.4232774)",walk,0
,3432,546387755,1365,1366,1,16.687447353303618,1,4,,footway,9,"LINESTRING (-111.9302966 33.4232774, -111.9302938 33.4233104, -111.9302747 33.4234263)",walk,0
,3433,546387756,1364,638,1,6.748224890658233,1,4,,footway,9,"LINESTRING (-111.9302487 33.4232665, -111.9302716 33.4232089)",walk,0
,3434,546387756,638,637,1,4.594765516517222,1,4,,footway,9,"LINESTRING (-111.9302716 33.4232089, -111.9302883 33.42317)",walk,0
,3435,546387756,637,636,1,6.783196910735916,1,4,,footway,9,"LINESTRING (-111.9302883 33.42317, -111.9303102 33.4231118)",walk,0
,3436,546387756,636,1367,1,8.545419306635626,1,4,,footway,9,"LINESTRING (-111.9303102 33.4231118, -111.9303328 33.4230373)",walk,0
,3437,546387756,1367,1241,1,21.338271127629305,1,4,,footway,9,"LINESTRING (-111.9303328 33.4230373, -111.9304776 33.4230555, -111.9305609 33.4230602)",walk,0
