name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2,activity_zone_id
,413,384263226,,house,,,"POLYGON ((-76.4078533 36.8130625, -76.4078545 36.8129821, -76.40790149999999 36.8129825, -76.4079016 36.8129717, -76.4079747 36.8129723, -76.40797449999999 36.8129877, -76.4080515 36.8129884, -76.4080505 36.8130578, -76.40797190000001 36.8130571, -76.4079715 36.8130798, -76.40789530000001 36.8130791, -76.4078955 36.8130629, -76.4078533 36.8130625))",POINT (-76.4079474 36.8130242),168.5,1813.7189024000002,1800
,2528,384266350,,residential,,,"POLYGON ((-76.40618720000001 36.8096018, -76.4061884 36.8095707, -76.4062165 36.8095714, -76.40621710000001 36.809554, -76.406305 36.8095562, -76.4063024 36.8096255, -76.40621520000001 36.8096233, -76.406216 36.8096026, -76.40618720000001 36.8096018))",POINT (-76.4062526 36.8095893),68.4,736.2514713600001,1800
,9465,384265692,,residential,,,"POLYGON ((-76.4060681 36.811135, -76.4060925 36.8110938, -76.4061368 36.8111108, -76.4061124 36.8111519, -76.4060681 36.811135))",POINT (-76.40610239999999 36.8111229),22.6,243.26437504000003,1800
,29,384263712,,residential,,,"POLYGON ((-76.4039465 36.8121852, -76.40396 36.8121632, -76.4039437 36.8121567, -76.40394879999999 36.8121485, -76.4039042 36.8121308, -76.4039004 36.812116, -76.4039089 36.8121021, -76.4039023 36.8120995, -76.4039606 36.8120046, -76.4039949 36.8120182, -76.404011 36.8119919, -76.4040447 36.8120052, -76.4040416 36.8120103, -76.4040718 36.8120222, -76.4040803 36.8120084, -76.4041021 36.812017, -76.4041045 36.8120132, -76.40415179999999 36.812032, -76.4041497 36.8120354, -76.40417069999999 36.8120438, -76.40407620000001 36.812198, -76.4040311 36.8121801, -76.4040253 36.8121896, -76.40400750000001 36.8121826, -76.4039952 36.8122026, -76.4040024 36.8122188, -76.4039855 36.8122463, -76.4039659 36.8122517, -76.4039166 36.8122321, -76.4039118 36.812218, -76.40392970000001 36.8121888, -76.4039465 36.8121852))",POINT (-76.40402159999999 36.8121073),395.6,4258.2029542400005,1801
,8956,701439607,,house,,,"POLYGON ((-76.400959 36.8140059, -76.4008666 36.8140339, -76.40082409999999 36.8139427, -76.40074420000001 36.8138031, -76.40085550000001 36.8137694, -76.4008752 36.8138115, -76.400909 36.8138011, -76.40095410000001 36.8138984, -76.4009234 36.8139074, -76.400959 36.8140059))",POINT (-76.40086410000001 36.8138936),307.0,3304.5204928000003,1801
,5306,701439375,,shed,,,"POLYGON ((-76.40015870000001 36.8126146, -76.40018240000001 36.8126334, -76.4001586 36.8126531, -76.40013449999999 36.8126342, -76.40015870000001 36.8126146))",POINT (-76.4001585 36.8126338),9.2,99.02797568,1801
,10311,701440876,,house,,,"POLYGON ((-76.39506969999999 36.810841, -76.3951285 36.8108902, -76.3951445 36.8108775, -76.39519730000001 36.8109216, -76.3952309 36.8109648, -76.3951531 36.8110249, -76.3950205 36.8109143, -76.3950495 36.8108918, -76.3950281 36.8108735, -76.39506969999999 36.810841))",POINT (-76.3951239 36.8109337),184.9,1990.24703296,1802
,6388,701440906,,house,,,"POLYGON ((-76.3960908 36.8110813, -76.3962293 36.8111992, -76.3961539 36.8112564, -76.3960948 36.8112061, -76.3960098 36.8111425, -76.3960908 36.8110813))",POINT (-76.3961206 36.8111687),169.1,1820.17724864,1802
,8199,701440623,,shed,,,"POLYGON ((-76.3965809 36.8104596, -76.3965881 36.8104952, -76.3965195 36.8105041, -76.3965123 36.8104685, -76.3965809 36.8104596))",POINT (-76.39655019999999 36.8104818),24.7,265.86858688,1802
,6545,701440507,,shed,,,"POLYGON ((-76.3960065 36.8097564, -76.3960285 36.8097906, -76.3959918 36.8098059, -76.3959699 36.8097717, -76.3960065 36.8097564))",POINT (-76.39599920000001 36.8097812),15.7,168.99339328,1802
